а то, {'Literature': 2403}
и так, {'Literature': 496}
на место, {'News': 482}
на улица, {'News': 418}
все же, {'Literature': 382}
сам себя, {'Literature': 136}
каждый день, {'Literature': 109}
в голова, {'Literature': 209}
на свет, {'Literature': 150}
в вид, {'News': 159}
на день, {'News': 112}
до конец, {'News': 142}
чуть быть не, {'Literature': 129}
на рука, {'Literature': 157}
не мешать, {'Literature': 69}
не то чтобы, {'Literature': 84}
скоро все, {'Literature': 86}
в год, {'News': 1610}
как быть, {'Literature': 67}
на нога, {'Literature': 120}
дело становиться, {'News': 66}
на голова, {'Literature': 113}
по дорога, {'Literature': 89}
на ухо, {'Literature': 51}
на поп, {'Literature': 78}
с вид, {'Literature': 50}
можно сказать, {'Literature': 44}
на человек, {'Literature': 40}
на дорога, {'Literature': 118}
в сила, {'News': 145}
на глаз, {'Literature': 103}
на пара, {'Literature': 51}
закрывать глаз, {'Literature': 61}
свой рука, {'Literature': 51}
по крайний мера, {'Literature': 42}
в честь, {'Literature': 40}
к твой счастие, {'News': 48}
на весь жизнь, {'Literature': 30}
со сторона, {'News': 177}
на потом, {'Literature': 46}
кто он знать, {'Literature': 48}
в сбор, {'News': 44}
на ход, {'Literature': 56}
как следовать, {'Literature': 41}
мало то, {'Literature': 26}
на колено, {'Literature': 83}
не пропадать, {'Literature': 22}
в сторона, {'Literature': 491}
с голова, {'Literature': 50}
на нос, {'Literature': 23}
с дорога, {'Literature': 43}
по себя, {'Literature': 47}
туда сюда, {'Literature': 28}
прежде все, {'News': 65}
про себя, {'Literature': 79}
дверь открывать, {'Literature': 32}
за спина, {'Literature': 96}
на двор, {'Literature': 48}
на лет, {'Literature': 57}
на память, {'Literature': 22}
один слово, {'Literature': 31}
с радость, {'Literature': 22}
от род, {'Literature': 38}
правый рука, {'Literature': 26}
до последний, {'Literature': 29}
на слово, {'News': 78}
открывать глаз, {'Literature': 72}
в нога, {'Literature': 29}
делать нечего, {'Literature': 23}
к слово, {'News': 37}
по рука, {'Literature': 14}
к пример, {'News': 58}
в дорога, {'Literature': 52}
на сердце, {'Literature': 16}
свой род, {'Literature': 50}
в сердце, {'Literature': 36}
за решетка, {'News': 12}
с душа, {'Literature': 12}
на случай, {'Lit/News': 12}
на шаг, {'Literature': 17}
на язык, {'Literature': 15}
от душа, {'Literature': 27}
по суть, {'News': 24}
что стоить, {'Literature': 18}
взять себя в рука, {'Literature': 11}
в большой ход, {'News': 485}
в куст, {'Literature': 23}
в самый раз, {'Literature': 21}
в упор, {'Literature': 14}
день и ночь, {'Literature': 23}
как правило, {'News': 36}
на ура, {'Literature': 14}
перед глаз, {'Literature': 47}
позволять себя, {'Literature': 28}
с ход, {'Literature': 10}
из последний, {'Literature': 14}
свой брат, {'Literature': 12}
свой глаз, {'Literature': 34}
брать в свой рука, {'Literature': 27}
в несколько или два три шаг, {'Literature': 12}
в одиночка, {'Literature': 13}
в открытый, {'News': 20}
все на свет, {'Literature': 24}
много много, {'Literature': 20}
на повод, {'Literature': 12}
на спор, {'News': 11}
на чай, {'Literature': 9}
не мед, {'Literature': 13}
первый дело, {'Literature': 22}
под рука, {'Literature': 45}
при первый взгляд, {'Literature': 11}
с мясо, {'Literature': 11}
чуть ли не, {'Literature': 70}
у дверь, {'Literature': 27}
в пара, {'Literature': 20}
в самый сок, {'Literature': 19}
в страх, {'Literature': 11}
в часть, {'News': 34}
вчерашний день, {'Literature': 7}
далеко пойти, {'Literature': 7}
к добро, {'Literature': 9}
к лицо, {'Literature': 25}
на круг, {'Literature': 11}
не указ, {'News': 14}
ни с то ни с сие, {'Literature': 8}
с улица, {'News': 38}
что поделать, {'Literature': 12}
такой род, {'Literature': 16}
без толк, {'Literature': 10}
бог посылать, {'Literature': 6}
в зуб, {'Literature': 10}
в расчет, {'News': 15}
во весь рост, {'News': 54}
и все тут, {'Literature': 12}
как назло, {'Literature': 14}
на бег, {'Literature': 15}
на мель, {'Literature': 15}
полный ход, {'News': 7}
на слава, {'Literature': 6}
негде повертываться, {'Literature': 7}
номер один, {'News': 8}
один глаз, {'Literature': 26}
опускать рука, {'Literature': 11}
от сила, {'Literature': 11}
раскрывать рот, {'Literature': 19}
подумать только, {'Literature': 6}
со все размах, {'Literature': 14}
с лишний, {'Literature': 19}
с привет, {'Literature': 7}
смотреть вон, {'Literature': 7}
со слово, {'Literature': 27}
что добрый, {'Literature': 7}
что за черт, {'Literature': 8}
под нос, {'Literature': 35}
не в счет, {'Literature': 6}
фу ты, {'Literature': 7}
быть спокойный, {'Literature': 17}
